Ende Ablesezeitraum;Messintervall;Abrechnungsmaßeinheit;Verbrauch
2019-01-03T21:00+01:00;QH;KWH;0,06606
2019-01-03T21:15+01:00;QH;KWH;0,01671
2019-01-03T21:30+01:00;QH;KWH;0,05395
2019-01-03T21:45+01:00;QH;KWH;0,03315
2019-01-03T22:00+01:00;QH;KWH;0,03010
2019-01-03T22:15+01:00;QH;KWH;0,02744
2019-01-03T22:30+01:00;QH;KWH;0,03928
2019-01-03T22:45+01:00;QH;KWH;0,01700
2019-01-03T23:00+01:00;QH;KWH;0,03065
2019-01-03T23:15+01:00;QH;KWH;0,02961
2019-01-03T23:30+01:00;QH;KWH;0,00426
2019-01-03T23:45+01:00;QH;KWH;0,02477
2019-01-04T00:00+01:00;QH;KWH;0,00430
2019-01-04T00:15+01:00;QH;KWH;0,01923
2019-01-04T00:30+01:00;QH;KWH;0,00556
2019-01-04T00:45+01:00;QH;KWH;0,03070
2019-01-04T01:00+01:00;QH;KWH;0,01334
2019-01-04T01:15+01:00;QH;KWH;0,01607
2019-01-04T01:30+01:00;QH;KWH;0,02091
2019-01-04T01:45+01:00;QH;KWH;0,02348
2019-01-04T02:00+01:00;QH;KWH;0,01757
2019-01-04T02:15+01:00;QH;KWH;0,01539
2019-01-04T02:30+01:00;QH;KWH;0,02719
2019-01-04T02:45+01:00;QH;KWH;0,01231
2019-01-04T03:00+01:00;QH;KWH;0,03131
2019-01-04T03:15+01:00;QH;KWH;0,01942
2019-01-04T03:30+01:00;QH;KWH;0,01031
2019-01-04T03:45+01:00;QH;KWH;0,00937
2019-01-04T04:00+01:00;QH;KWH;0,01456
2019-01-04T04:15+01:00;QH;KWH;0,00848
2019-01-04T04:30+01:00;QH;KWH;0,01610
2019-01-04T04:45+01:00;QH;KWH;0,02200
2019-01-04T05:00+01:00;QH;KWH;0,02122
2019-01-04T05:15+01:00;QH;KWH;0,02844
2019-01-04T05:30+01:00;QH;KWH;0,02736
2019-01-04T05:45+01:00;QH;KWH;0,03003
2019-01-04T06:00+01:00;QH;KWH;0,03414
2019-01-04T06:15+01:00;QH;KWH;0,02955
2019-01-04T06:30+01:00;QH;KWH;0,05035
2019-01-04T06:45+01:00;QH;KWH;0,00487
2019-01-04T07:00+01:00;QH;KWH;0,02182
2019-01-04T07:15+01:00;QH;KWH;0,06595
2019-01-04T07:30+01:00;QH;KWH;0,02478
2019-01-04T07:45+01:00;QH;KWH;0,04545
2019-01-04T08:00+01:00;QH;KWH;0,03637
2019-01-04T08:15+01:00;QH;KWH;0,04649
2019-01-04T08:30+01:00;QH;KWH;0,00744
2019-01-04T08:45+01:00;QH;KWH;0,01039
2019-01-04T09:00+01:00;QH;KWH;0,01047
2019-01-04T09:15+01:00;QH;KWH;0,02045
2019-01-04T09:30+01:00;QH;KWH;0,01659
2019-01-04T09:45+01:00;QH;KWH;0,03956
2019-01-04T10:00+01:00;QH;KWH;0,01841
2019-01-04T10:15+01:00;QH;KWH;0,03438
2019-01-04T10:30+01:00;QH;KWH;0,03281
2019-01-04T10:45+01:00;QH;KWH;0,05097
2019-01-04T11:00+01:00;QH;KWH;0,04983
2019-01-04T11:15+01:00;QH;KWH;0,03405
2019-01-04T11:30+01:00;QH;KWH;0,02101
2019-01-04T11:45+01:00;QH;KWH;0,05485
2019-01-04T12:00+01:00;QH;KWH;0,03230
2019-01-04T12:15+01:00;QH;KWH;0,02177
2019-01-04T12:30+01:00;QH;KWH;0,01592
2019-01-04T12:45+01:00;QH;KWH;0,02512
2019-01-04T13:00+01:00;QH;KWH;0,00511
2019-01-04T13:15+01:00;QH;KWH;0,03138
2019-01-04T13:30+01:00;QH;KWH;0,04067
2019-01-04T13:45+01:00;QH;KWH;0,02939
2019-01-04T14:00+01:00;QH;KWH;0,01437
2019-01-04T14:15+01:00;QH;KWH;0,03822
2019-01-04T14:30+01:00;QH;KWH;0,04272
2019-01-04T14:45+01:00;QH;KWH;0,04318
2019-01-04T15:00+01:00;QH;KWH;0,04269
2019-01-04T15:15+01:00;QH;KWH;0,03186
2019-01-04T15:30+01:00;QH;KWH;0,03640
2019-01-04T15:45+01:00;QH;KWH;0,06881
2019-01-04T16:00+01:00;QH;KWH;0,04328
2019-01-04T16:15+01:00;QH;KWH;0,03023
2019-01-04T16:30+01:00;QH;KWH;0,02540
2019-01-04T16:45+01:00;QH;KWH;0,04251
2019-01-04T17:00+01:00;QH;KWH;0,04038
2019-01-04T17:15+01:00;QH;KWH;0,01906
2019-01-04T17:30+01:00;QH;KWH;0,06588
2019-01-04T17:45+01:00;QH;KWH;0,04952
2019-01-04T18:00+01:00;QH;KWH;0,07804
2019-01-04T18:15+01:00;QH;KWH;0,03803
2019-01-04T18:30+01:00;QH;KWH;0,01718
2019-01-04T18:45+01:00;QH;KWH;0,04920
2019-01-04T19:00+01:00;QH;KWH;0,03385
2019-01-04T19:15+01:00;QH;KWH;0,03821
2019-01-04T19:30+01:00;QH;KWH;0,02677
2019-01-04T19:45+01:00;QH;KWH;0,04848
2019-01-04T20:00+01:00;QH;KWH;0,04734
2019-01-04T20:15+01:00;QH;KWH;0,04979
2019-01-04T20:30+01:00;QH;KWH;0,04665
2019-01-04T20:45+01:00;QH;KWH;0,06301
2019-01-04T21:00+01:00;QH;KWH;0,09577
2019-01-04T21:15+01:00;QH;KWH;0,01499
2019-01-04T21:30+01:00;QH;KWH;0,05795
2019-01-04T21:45+01:00;QH;KWH;0,06134
2019-01-04T22:00+01:00;QH;KWH;0,01995
2019-01-04T22:15+01:00;QH;KWH;0,03179
2019-01-04T22:30+01:00;QH;KWH;0,04684
2019-01-04T22:45+01:00;QH;KWH;0,00758
2019-01-04T23:00+01:00;QH;KWH;0,02599
2019-01-04T23:15+01:00;QH;KWH;0,02731
2019-01-04T23:30+01:00;QH;KWH;0,01029
2019-01-04T23:45+01:00;QH;KWH;0,01422
2019-01-05T00:00+01:00;QH;KWH;0,02803
2019-01-05T00:15+01:00;QH;KWH;0,02479
2019-01-05T00:30+01:00;QH;KWH;0,03651
2019-01-05T00:45+01:00;QH;KWH;0,02993
2019-01-05T01:00+01:00;QH;KWH;0,04910
2019-01-05T01:15+01:00;QH;KWH;0,01622
2019-01-05T01:30+01:00;QH;KWH;0,02740
2019-01-05T01:45+01:00;QH;KWH;0,03753
2019-01-05T02:00+01:00;QH;KWH;0,04455
2019-01-05T02:15+01:00;QH;KWH;0,03878
2019-01-05T02:30+01:00;QH;KWH;0,01411
2019-01-05T02:45+01:00;QH;KWH;0,01524
2019-01-05T03:00+01:00;QH;KWH;0,02774
2019-01-05T03:15+01:00;QH;KWH;0,04440
